,contributor,bothunter,app
0,flyio-buildbot,Bot,False
1,blockstack-devops,Bot,False
2,SMillerDev,Human,False
3,petere,Human,False
4,bfontaine,Human,False
5,zuisong,Human,False
6,asyncapi-bot-eve,Bot,False
7,EricFromCanada,Human,False
8,Moulick,Human,False
9,BrewTestBot,Bot,False
10,carlocab,Human,False
11,ddollar,Human,False
12,seratch,Human,False
13,sferik,Human,False
14,samford,Human,False
15,jesseduffield,Human,False
16,claui,Human,False
17,jeremylong,Human,False
18,tchajed,Human,False
19,FnControlOption,Human,False
20,flyio-flyctl-bot,Bot,False
21,avsm,Human,False
22,denysdovhan,Human,False
23,derrabus,Human,False
24,github-merge-queue[bot],Bot,True
25,jidicula,Human,False
26,bevanjkay,Human,False
27,branchvincent,Human,False
28,nevack,Human,False
29,mkhl,Human,False
30,wing328,Human,False
31,stgraber,Human,False
32,soloio-bot,Bot,False
33,matchai,Human,False
34,kevinAlbs,Human,False
35,curquiza,Human,False
36,dandavison,Human,False
37,pulumi-bot,Bot,False
38,epistrephein,Human,False
39,github-actions[bot],Bot,True
